groupId,artifactId,latest description,earliest release (real) date,latest release (real) date
com.atlassian.maven.archetypes,confluence-plugin-archetype,This archetype can be used to create a new Atlassian Confluence plugin project,20150318Z,20150318Z
com.atlassian.maven.archetypes,crowd-plugin-archetype,This archetype can be used to create a new Atlassian Crowd plugin project,20150318Z,20150318Z
com.atlassian.maven.archetypes,fecru-plugin-archetype,This archetype can be used to create a new Atlassian FishEye / Crucible plugin project,20150318Z,20150318Z
com.atlassian.maven.archetypes,jira-plugin-archetype,This archetype can be used to create a new Atlassian JIRA plugin project,20150318Z,20150318Z
com.atlassian.maven.archetypes,jira4-plugin-archetype,This archetype can be used to create a new Atlassian JIRA plugin project for JIRA 4.x,20150318Z,20150318Z
com.atlassian.maven.archetypes,plugin-archetype,This archetype can be used to create a new cross-product Atlassian plugin project,20150318Z,20150318Z
com.atlassian.maven.archetypes,refapp-plugin-archetype,This archetype can be used to create a new Atlassian Refapp plugin project,20150318Z,20150318Z
com.atlassian.maven.archetypes,stash-plugin-archetype,This archetype can be used to create a new Atlassian Stash plugin project,20150318Z,20150318Z
com.atlassian.maven.archetypes,studio-plugin-archetype,This archetype can be used to create a new Atlassian Studio plugin project,20150318Z,20150318Z
com.atolcd.alfresco,repo-archetype,Alfresco repository module archetype,20130722Z,20180830Z
com.atolcd.alfresco,share-archetype,Alfresco Share module archetype,20130722Z,20180830Z
com.att.ajsc,ajsc-archetype,,20161204Z,20190715Z
com.att.ajsc,ajsc-surfsup-archetype,,20161202Z,20161202Z
com.att.ajsc,sdk-camunda-archetype,sdk-camunda-archetype-resources,20170505Z,20170505Z
com.att.ajsc,sdk-java-camel-archetype,AJSC Camel Archetype,20170509Z,20170509Z
com.att.ajsc,sdk-java-jersey-archetype,AJSC Jersey archtype,20170509Z,20171129Z
com.att.ajsc,sdk-java-restlet-archetype,AJSC restlet archetype,20170509Z,20170509Z
com.attivio.platform.archetypes,attivio-archetype-client,Attivio Client Maven Archetype,20170314Z,20190324Z
com.attivio.platform.archetypes,attivio-archetype-module,Attivio Module Maven Archetype,20170314Z,20191022Z
com.bardframework,bard-simple-archetype,"A web framework that is easy to use, easy to extend",20141109Z,20150105Z
com.bellotapps.archetypes,four-layers-webapp-archetype,"A Maven archetype for a multi-module project,
        which includes model, interfaces, persistence, service and webapp modules",20170729Z,20170729Z
com.bernardomg.maven.archetypes,library-archetype,A Maven Archetype to ease the creation of new Java libraries.,20171126Z,20200702Z
com.bernardomg.maven.archetypes,spring-mvc-react-archetype,"A Maven Archetype for projects using Spring MVC, and React + Redux.",20180906Z,20190817Z
com.bernardomg.maven.archetypes,spring-mvc-thymeleaf-archetype,"A Maven Archetype for Spring MVC, and Thymeleaf, projects.",20171126Z,20191110Z
com.blazebit,blaze-persistence-archetype-core-sample,,20170201Z,20200608Z
com.blazebit,blaze-persistence-archetype-deltaspike-data-sample,,20180210Z,20200608Z
com.blazebit,blaze-persistence-archetype-entity-view-sample,,20170201Z,20200608Z
com.blazebit,blaze-persistence-archetype-java-ee-sample,,20180210Z,20200608Z
com.blazebit,blaze-persistence-archetype-spring-boot-sample,,20180210Z,20200608Z
com.blazebit,blaze-persistence-archetype-spring-data-sample,,20170201Z,20200608Z
com.blurscope,tomee7-hibernate-archetype,Simple Java EE 7 project template. Test environment is TomEE 7 with Hibernate,20171214Z,20171214Z
com.broadcom,action-pack-archetype,This project template enables Action Pack development for Automic Automation (AA and CDA) in Java.,20200407Z,20200525Z
com.bsb.common.vaadin,com.bsb.common.vaadin.embed-simple-archetype,,20120505Z,20121013Z
com.bsb.common.vaadin,com.bsb.common.vaadin7.embed-simple-archetype,,20120505Z,20150610Z
com.bugvm,bugvm-java-template,,20151231Z,20160825Z
com.bugvm,bugvm-libgdx-template,,20151231Z,20160415Z
com.bugvm,bugvm-scala-template,,20151231Z,20160825Z
com.buschmais.jqassistant.archetype,jqassistant.archetype.project,A project archetype including a basic jQAssistant setup.,20150417Z,20150419Z
com.canoo.dolphin-platform,kumuluz-archetype,This repository contains a Maven Archetype for a KumuluzEE based project of the Dolphin Platform.,20151216Z,20160219Z
com.canoo.dolphin-platform,spring-boot-archetype,This repository contains a Maven Archetype for a Spring Boot based project of the Dolphin Platform.,20151201Z,20180221Z
com.cedarsoft.open.archetype,multi,,20100927Z,20121218Z
com.cedarsoft.open.archetype,simple,,20100927Z,20121218Z
com.cerner.beadledom,simple-service,,20170127Z,20200626Z
com.cerner.ccl.archetype,cclunit-archetype,Archetype to set up an empty mavenized CCL project,20180705Z,20200117Z
com.cerner.ccl.archetype,cclunit-maven-settings-check-archetype,Archetype to create a project for checking the maven setttings required for ccl-maven-plugin,20180705Z,20200117Z
com.citytechinc.aem.apps.ionic,aem-apps-ionic-maven-archetype,"Archetype generating a multi module AEM project, initial content, and contentsync configuration appropriate for an AEM Apps project.",20160210Z,20160926Z
com.cloudfoundry.tothought,spring-data-basic,A basic setup for Spring Data + Hibernate + MySql,20130119Z,20130119Z
com.cognifide.qa.bb,bobcat-archetype,Basic Bobcat archetype.,20160804Z,20170519Z
com.cognifide.qa.bb,bobcat-archetype-aem,Basic Bobcat archetype,20160804Z,20170522Z
com.cognifide.qa.bb,bobcat-archetype-aem-bdd,AEM BDD Bobcat archetype,20160805Z,20170522Z
com.cognifide.qa.bb,bobcat-archetype-bdd,BDD Bobcat archetype,20160805Z,20170522Z
com.cognifide.qa.bb.mobile,bb-appium-hello-world-archetype,Bobcat Appium archetype.,20170413Z,20170522Z
com.commercetools.maven-archetypes,commercetools-hello-java-archetype,Archetype for creating a Java application with commercetools,20160406Z,20160621Z
com.commercetools.maven-archetypes,commercetools-spring-mvc-quickstart,Archetype for creating Spring MVC 4 web application with commercetools,20160229Z,20160229Z
com.consol.citrus.archetypes,citrus-quickstart,Citrus quickstart project,20180312Z,20200317Z
com.consol.citrus.archetypes,citrus-quickstart-jms,Citrus quickstart project with JMS consumer and producer,20180312Z,20200317Z
com.consol.citrus.archetypes,citrus-quickstart-soap,Citrus quickstart project with SOAP client and server,20180312Z,20200317Z
com.consol.citrus.archetypes,citrus-simulator-archetype-jms,Archetype for Citrus JMS simulator,20170920Z,20191106Z
com.consol.citrus.archetypes,citrus-simulator-archetype-mail,Archetype for Citrus mail simulator,20170920Z,20191106Z
com.consol.citrus.archetypes,citrus-simulator-archetype-rest,Archetype for Citrus REST simulator,20170920Z,20191106Z
com.consol.citrus.archetypes,citrus-simulator-archetype-swagger,Archetype for Citrus Swagger auto generated REST simulator,20170920Z,20191106Z
com.consol.citrus.archetypes,citrus-simulator-archetype-ws,Archetype for Citrus SOAP simulator,20170920Z,20191106Z
com.consol.citrus.archetypes,citrus-simulator-archetype-wsdl,Archetype for Citrus WSDL auto generated SOAP simulator,20170920Z,20191106Z
com.consol.citrus.mvn,citrus-quickstart,Citrus quickstart project,20150626Z,20180116Z
com.consol.citrus.mvn,citrus-quickstart-jms,Citrus quickstart project with JMS consumer and producer,20150626Z,20180116Z
com.consol.citrus.mvn,citrus-quickstart-soap,Citrus quickstart project with SOAP client and server,20150626Z,20180116Z
com.controlsjs.controls4j,app-archetype,"Use Controls.js together with Java. Deploy to desktop,
      Android, iOS, HTML5 browser.",20140928Z,20160107Z
com.coreoz,plume-archetype-hibernate-jersey-guice,"Bootstrap a project with Hibernate, Jersey and Guice",20161024Z,20171105Z
com.coreoz,plume-archetype-querydsl-jersey-guice,"Bootstrap a project with Querydsl, jersey and Guice",20161024Z,20200419Z
com.coreoz,plume-archetype-querydsl-jersey-guice-grizzly,"Bootstrap a project with Querydsl, Jersey, Guice and Grizzly embedded server",20170127Z,20200419Z
com.crawljax.plugins.archetypes,crawljax-plugins-archetype,"Generates a Crawljax project template.",20121226Z,20141212Z
com.cuubez,cuubez-archetype,"Cuubez quickstart archetype.",20140802Z,20140802Z
com.cyc.model.maven,cyc-model-archetype-project,"Maven archetype for creating Cyc Model Generator-based projects.",20170831Z,20170831Z
com.deciphernow,gm-fabric-archetype,,20170428Z,20190730Z
com.deliveredtechnologies,tf-s3-archetype,Terraform Maven S3 Project Archetype,20190731Z,20200713Z
com.devdungeon.maven.archetypes,application,Maven project archetype for DevDungeon applications,20181006Z,20200201Z
com.devdungeon.maven.archetypes,library,A Maven project archetype for DevDungeon class libraries,20180425Z,20180425Z
com.devonfw.java.templates,devon4j-template-server,Application template for a server app based on devon4j.,20181102Z,20200604Z
com.devonfw.microservices,microservices-archetype,Archetype for foo microservice project of Devonfw,20180529Z,20190713Z
com.devonfw.microservices,microservices-infra-archetype,Archetype for Devonfw infrastructure microservices project.,20180529Z,20190713Z
com.digitalpebble.stormcrawler,storm-crawler-archetype,,20160108Z,20200114Z
com.digitalpebble.stormcrawler,storm-crawler-elasticsearch-archetype,,20200114Z,20200114Z
com.dkirrane.maven.archetype,ggitflow-maven-archetype,,20140317Z,20161017Z
com.dncomponents.core,create-project,,20191206Z,20200612Z
com.dncomponents.core,create-project-material,,20200612Z,20200612Z
com.dragome,simple-webapp-archetype,Dragome SDK simple webapp archetype,20150620Z,20150620Z
com.dtsc.bpm,form-archetype,Archetype for BPM form project,20150922Z,20150922Z
com.dukescript.archetype,crud4j-archetype,"HTML page with master/detail showing results obtains
      for a Jersey server. Everything written in Java. 
      Use your favorite language to code. Run the same code 
      on server as well as client. Use
      HTML as a lightweight rendering toolkit. Deploy to desktop,
      Android, iOS, HTML5 browser.",20150131Z,20200702Z
com.dukescript.archetype,knockout4j-archetype,"HTML page with Knockout.js bindings driven by application model
      written in Java. Use your favorite language to code. Use
      HTML as a lightweight rendering toolkit. Deploy to desktop,
      Android, iOS, HTML5 browser.",20150131Z,20200702Z
